"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nPortal__Is_Portal_Enabled__c","nFORCE__Orchestration_Step__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Credit_Pull_Required__c","wmx_module__c","nFORCE__Primary_Button_Text__c"
"a2D6g0000000mj9EAA","0056g000003hlBjAAI","","0643","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","0.0","a2E6g0000001aXEEAY","a2E6g0000001aXFEAY","a2D6g0000000mj9EAA","false","","false","false","false","true","true","","","","","","false","",""
"a2D6g0000000mjAEAQ","0056g000003hlBjAAI","","0644","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","1.0","a2E6g0000001aXEEAY","a2E6g0000001aXGEAY","a2D6g0000000mjAEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjBEAQ","0056g000003hlBjAAI","","0645","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","2.0","a2E6g0000001aXEEAY","a2E6g0000001aXHEAY","a2D6g0000000mjBEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjCEAQ","0056g000003hlBjAAI","","0646","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","3.0","a2E6g0000001aXEEAY","a2E6g0000001aXIEAY","a2D6g0000000mjCEAQ","false","","false","false","false","false","true","a2B6g0000000zRGEAY","","","","","false","",""
"a2D6g0000000mjDEAQ","0056g000003hlBjAAI","","0647","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","4.0","a2E6g0000001aXEEAY","a2E6g0000001aXJEAY","a2D6g0000000mjDEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjEEAQ","0056g000003hlBjAAI","","0648","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","1.0","","a2E6g0000001aXKEAY","a2D6g0000000mjEEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjFEAQ","0056g000003hlBjAAI","","0649","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","0.0","a2E6g0000001aXKEAY","a2E6g0000001aXKEAY","a2D6g0000000mjFEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjGEAQ","0056g000003hlBjAAI","","0650","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","1.0","a2E6g0000001aXKEAY","a2E6g0000001aXLEAY","a2D6g0000000mjGEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjHEAQ","0056g000003hlBjAAI","","0651","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","2.0","a2E6g0000001aXKEAY","a2E6g0000001aXMEAY","a2D6g0000000mjHEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjIEAQ","0056g000003hlBjAAI","","0652","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","3.0","a2E6g0000001aXKEAY","a2E6g0000001aXNEAY","a2D6g0000000mjIEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjJEAQ","0056g000003hlBjAAI","","0653","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","true","4.0","a2E6g0000001aXKEAY","a2E6g0000001aXOEAY","a2D6g0000000mjJEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjKEAQ","0056g000003hlBjAAI","","0654","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","5.0","a2E6g0000001aXKEAY","a2E6g0000001aXPEAY","a2D6g0000000mjKEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjLEAQ","0056g000003hlBjAAI","","0655","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","2.0","","a2E6g0000001aXQEAY","a2D6g0000000mjLEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjMEAQ","0056g000003hlBjAAI","","0656","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS5EAI","false","1000.0","","a2E6g0000001aXREAY","a2D6g0000000mjMEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjNEAQ","0056g000003hlBjAAI","","0657","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS6EAI","true","0.0","","a2E6g0000001aXSEAY","a2D6g0000000mjNEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjOEAQ","0056g000003hlBjAAI","","0658","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS6EAI","true","0.0","a2E6g0000001aXSEAY","a2E6g0000001aXSEAY","a2D6g0000000mjOEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjPEAQ","0056g000003hlBjAAI","","0660","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS7EAI","false","0.0","a2E6g0000001aXTEAY","a2E6g0000001aXUEAY","a2D6g0000000mjPEAQ","false","","false","false","false","true","true","","","","","","false","",""
"a2D6g0000000mjQEAQ","0056g000003hlBjAAI","","0661","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS7EAI","false","2.0","a2E6g0000001aXTEAY","a2E6g0000001aXVEAY","a2D6g0000000mjQEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjREAQ","0056g000003hlBjAAI","","0662","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS7EAI","false","3.0","a2E6g0000001aXTEAY","a2E6g0000001aXWEAY","a2D6g0000000mjREAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjSEAQ","0056g000003hlBjAAI","","0664","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS7EAI","false","1.0","a2E6g0000001aXXEAY","a2E6g0000001aXYEAY","a2D6g0000000mjSEAQ","false","","false","false","false","true","true","","","","","","false","",""
"a2D6g0000000mjTEAQ","0056g000003hlBjAAI","","0665","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS7EAI","false","2.0","a2E6g0000001aXXEAY","a2E6g0000001aXZEAY","a2D6g0000000mjTEAQ","false","","false","false","false","false","true","","","","","","false","",""
"a2D6g0000000mjUEAQ","0056g000003hlBjAAI","","0672","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS0EAI","false","4.0","","a2E6g0000001aXdEAI","a2D6g0000000mjUEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjVEAQ","0056g000003hlBjAAI","","0673","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS0EAI","false","0.0","a2E6g0000001aXdEAI","a2E6g0000001aXeEAI","a2D6g0000000mjVEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjWEAQ","0056g000003hlBjAAI","","0674","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS0EAI","false","1.0","a2E6g0000001aXdEAI","a2E6g0000001aXfEAI","a2D6g0000000mjWEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjXEAQ","0056g000003hlBjAAI","","0675","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zS0EAI","false","2.0","a2E6g0000001aXdEAI","a2E6g0000001aXgEAI","a2D6g0000000mjXEAQ","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjYEAQ","0056g000003hlBjAAI","","16901","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","false","1.000011E7","","a2E6g0000001aY9EAI","68991586894797454","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjZEAQ","0056g000003hlBjAAI","","16909","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","false","9000.0","","a2E6g0000001aY1EAI","23711586894797454","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjaEAA","0056g000003hlBjAAI","","16914","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","true","5000.0","","a2E6g0000001aXtEAI","43701586894797454","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjbEAA","0056g000003hlBjAAI","","0000","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRkEAI","false","1.0","","a2E6g0000001aY2EAI","a2D6g0000000mjbEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjcEAA","0056g000003hlBjAAI","","0001","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRkEAI","false","0.0","a2E6g0000001aY2EAI","a2E6g0000001aY2EAI","a2D6g0000000mjcEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjdEAA","0056g000003hlBjAAI","","0003","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRkEAI","false","2.0","a2E6g0000001aY2EAI","a2E6g0000001aY3EAI","a2D6g0000000mjdEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjeEAA","0056g000003hlBjAAI","","0004","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRkEAI","false","2.0","","a2E6g0000001aY4EAI","a2D6g0000000mjeEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjfEAA","0056g000003hlBjAAI","","0005","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRkEAI","false","0.0","a2E6g0000001aY4EAI","a2E6g0000001aY4EAI","a2D6g0000000mjfEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjgEAA","0056g000003hlBjAAI","","0015","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRlEAI","false","5.0","","a2E6g0000001aY6EAI","a2D6g0000000mjgEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjhEAA","0056g000003hlBjAAI","","0016","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRlEAI","false","0.0","a2E6g0000001aY6EAI","a2E6g0000001aY6EAI","a2D6g0000000mjhEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjiEAA","0056g000003hlBjAAI","","0021","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRlEAI","false","8.0","","a2E6g0000001aY7EAI","a2D6g0000000mjiEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjjEAA","0056g000003hlBjAAI","","0022","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRlEAI","false","0.0","a2E6g0000001aY7EAI","a2E6g0000001aY7EAI","a2D6g0000000mjjEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjkEAA","0056g000003hlBjAAI","","0031","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:09.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRlEAI","false","3.0","","a2E6g0000001aY9EAI","a2D6g0000000mjkEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjlEAA","0056g000003hlBjAAI","","0035","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRmEAI","false","0.0","","a2E6g0000001aYAEAY","a2D6g0000000mjlEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjmEAA","0056g000003hlBjAAI","","0037","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRmEAI","false","2.0","a2E6g0000001aYAEAY","a2E6g0000001aYBEAY","a2D6g0000000mjmEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjnEAA","0056g000003hlBjAAI","","0041","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRpEAI","false","8300120.0","a2E6g0000001aZFEAY","a2E6g0000001aZOEAY","a2D6g0000000mjnEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjoEAA","0056g000003hlBjAAI","","0042","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRpEAI","false","8300130.0","a2E6g0000001aZFEAY","a2E6g0000001aZOEAY","a2D6g0000000mjoEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjpEAA","0056g000003hlBjAAI","","0043","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRpEAI","false","8300140.0","a2E6g0000001aZFEAY","a2E6g0000001aZOEAY","a2D6g0000000mjpEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjqEAA","0056g000003hlBjAAI","","0044","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","true","2520.0","a2E6g0000001aa9EAA","a2E6g0000001aZhEAI","24761586894797454","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mjrEAA","0056g000003hlBjAAI","","0045","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","9500020.0","a2E6g0000001aa9EAA","a2E6g0000001aZhEAI","a2D6g0000000mjrEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mjsEAA","0056g000003hlBjAAI","","0046","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","9500020.0","a2E6g0000001aa9EAA","a2E6g0000001aZhEAI","a2D6g0000000mjsEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mjtEAA","0056g000003hlBjAAI","","0047","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","9500020.0","a2E6g0000001aa9EAA","a2E6g0000001aZhEAI","a2D6g0000000mjtEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mjuEAA","0056g000003hlBjAAI","","0048","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","9500020.0","a2E6g0000001aa9EAA","a2E6g0000001aZhEAI","a2D6g0000000mjuEAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mjvEAA","0056g000003hlBjAAI","","0050","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","11010.0","a2E6g0000001aYKEAY","a2E6g0000001aYKEAY","a2D6g0000000mjvEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjwEAA","0056g000003hlBjAAI","","0051","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","11010.0","a2E6g0000001aYKEAY","a2E6g0000001aYKEAY","a2D6g0000000mjwEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjxEAA","0056g000003hlBjAAI","","0052","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","11010.0","a2E6g0000001aYKEAY","a2E6g0000001aYKEAY","a2D6g0000000mjxEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjyEAA","0056g000003hlBjAAI","","0053","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","11010.0","a2E6g0000001aYKEAY","a2E6g0000001aYKEAY","a2D6g0000000mjyEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mjzEAA","0056g000003hlBjAAI","","0054","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","11000.0","","a2E6g0000001aYKEAY","a2D6g0000000mjzEAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mk0EAA","0056g000003hlBjAAI","","0055","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","11000.0","","a2E6g0000001aYKEAY","a2D6g0000000mk0EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mk1EAA","0056g000003hlBjAAI","","0056","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","11000.0","","a2E6g0000001aYKEAY","a2D6g0000000mk1EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mk2EAA","0056g000003hlBjAAI","","0057","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","11000.0","","a2E6g0000001aYKEAY","a2D6g0000000mk2EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mk3EAA","0056g000003hlBjAAI","","0062","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-04-14T20:06:37.000Z","0056g000003hlBjAAI","","","","","","a2B6g0000000zRuEAI","false","1050.0","a2E6g0000001aa0EAA","a2E6g0000001aZoEAI","25901586894797454","false","","false","false","false","false","false","","","","","{{IF=""A OR B""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Complete""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mk4EAA","0056g000003hlBjAAI","","0063","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRsEAI","false","1050.0","a2E6g0000001aa0EAA","a2E6g0000001aZoEAI","a2D6g0000000mk4EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mk5EAA","0056g000003hlBjAAI","","0064","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRrEAI","false","1050.0","a2E6g0000001aa0EAA","a2E6g0000001aZoEAI","a2D6g0000000mk5EAA","false","","false","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","false","",""
"a2D6g0000000mk6EAA","0056g000003hlBjAAI","","0065","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRqEAI","false","1050.0","a2E6g0000001aa0EAA","a2E6g0000001aZoEAI","a2D6g0000000mk6EAA","false","","false","false","false","false","false","","","","","","false","",""
"a2D6g0000000mk7EAA","0056g000003hlBjAAI","","0066","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T18:07:07.000Z","0054v00000EIZAcAAP","","","","","","a2B6g0000000zRtEAI","false","1050.0","a2E6g0000001aa0EAA","a2E6g0000001aZoEAI","a2D6g0000000mk7EAA","false","","false","false","false","false","false","","","","","","false","",""
